epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4441.1,0.46874,0.2908,0.89377,0.9866,0.99723,0.99481,0.90624,0.43563,0.23554,0.8429,0.0005546,0.0005546,0.0005546
75,4499.93,0.4697,0.28511,0.89164,0.99018,1,0.99464,0.90885,0.44365,0.23578,0.84846,0.0005348,0.0005348,0.0005348
76,4558.41,0.46957,0.29043,0.89555,0.99013,0.99807,0.99486,0.90989,0.43702,0.22806,0.84336,0.000515,0.000515,0.000515
77,4617.53,0.46349,0.28803,0.8915,0.99198,0.99807,0.99494,0.91299,0.43428,0.22103,0.8406,0.0004952,0.0004952,0.0004952
78,4676.55,0.47143,0.29027,0.89211,0.99276,0.99807,0.99494,0.91272,0.43895,0.22547,0.84441,0.0004754,0.0004754,0.0004754
79,4735.89,0.46682,0.28928,0.89604,0.98825,0.99807,0.99496,0.91324,0.4383,0.22466,0.84533,0.0004556,0.0004556,0.0004556
80,4795.14,0.45642,0.28134,0.88768,0.9846,0.99807,0.99475,0.91262,0.43425,0.22174,0.84619,0.0004358,0.0004358,0.0004358
81,4854.46,0.44942,0.27658,0.88749,0.9904,0.99788,0.99486,0.91216,0.43643,0.22367,0.84966,0.000416,0.000416,0.000416
82,4913.81,0.45303,0.28001,0.88635,0.9942,0.99397,0.99492,0.91154,0.43452,0.22458,0.84314,0.0003962,0.0003962,0.0003962
83,4972.29,0.44318,0.27424,0.88517,0.99014,0.99807,0.99484,0.91501,0.42939,0.21774,0.84566,0.0003764,0.0003764,0.0003764
84,5030.58,0.43977,0.26506,0.88328,0.98987,0.99807,0.99482,0.91077,0.43522,0.215,0.84551,0.0003566,0.0003566,0.0003566
85,5088.96,0.44733,0.27222,0.89128,0.99004,0.99807,0.99475,0.91305,0.42465,0.21036,0.84029,0.0003368,0.0003368,0.0003368
86,5147.69,0.44362,0.26716,0.87886,0.98954,0.99807,0.99476,0.91278,0.42164,0.21012,0.84234,0.000317,0.000317,0.000317
87,5206.16,0.43865,0.26964,0.88594,0.98984,0.99807,0.99484,0.91238,0.42422,0.21337,0.8418,0.0002972,0.0002972,0.0002972
88,5264.45,0.42685,0.25889,0.88271,0.99009,0.99613,0.99474,0.91142,0.42484,0.21277,0.84383,0.0002774,0.0002774,0.0002774
89,5322.86,0.42059,0.25837,0.87535,0.99014,0.9942,0.99475,0.91376,0.41437,0.20833,0.84285,0.0002576,0.0002576,0.0002576
90,5380.82,0.41786,0.2585,0.88885,0.98819,0.99807,0.99482,0.9129,0.41478,0.20919,0.84185,0.0002378,0.0002378,0.0002378
91,5507.84,0.37546,0.20393,0.82684,0.98785,0.99613,0.99494,0.91683,0.41758,0.20989,0.84471,0.000218,0.000218,0.000218
92,5565.34,0.36511,0.20156,0.82525,0.9903,0.99613,0.9949,0.91673,0.4147,0.21018,0.83954,0.0001982,0.0001982,0.0001982
93,5622.78,0.36432,0.20074,0.82395,0.9899,0.99613,0.99486,0.91827,0.41201,0.20817,0.83737,0.0001784,0.0001784,0.0001784
94,5681.79,0.35467,0.19669,0.82046,0.98831,0.99613,0.99492,0.91705,0.42251,0.20862,0.84163,0.0001586,0.0001586,0.0001586
95,5741.33,0.35528,0.19251,0.81556,0.99044,0.9942,0.995,0.9205,0.41226,0.20287,0.84053,0.0001388,0.0001388,0.0001388
96,5801.5,0.34908,0.19383,0.81409,0.99023,0.99613,0.99498,0.92261,0.41238,0.20084,0.83788,0.000119,0.000119,0.000119
97,5861.24,0.34907,0.18911,0.81334,0.99037,0.99507,0.99498,0.92205,0.40998,0.2,0.8353,9.92e-05,9.92e-05,9.92e-05
98,5920.28,0.34241,0.18549,0.81205,0.99121,0.99613,0.99496,0.9228,0.40904,0.1966,0.83349,7.94e-05,7.94e-05,7.94e-05
99,5979.33,0.33952,0.18458,0.81624,0.99023,0.99613,0.99494,0.92312,0.40802,0.19796,0.83407,5.96e-05,5.96e-05,5.96e-05
100,6038.59,0.34221,0.18285,0.81439,0.99215,0.99807,0.99496,0.92353,0.40502,0.19542,0.83247,3.98e-05,3.98e-05,3.98e-05
